Dataset,Model,Features,ICL Strategy,Reasoning,Accuracy (Depression),Macro F1 (Depression),Precision (Depression),Recall (Depression),Accuracy (Anxiety),Macro F1 (Anxiety),Precision (Anxiety),Recall (Anxiety),Accuracy (Stress),Macro F1 (Stress),Precision (Stress),Recall (Stress),Latency (sec),Cost ($),Input Token (Avg),Total Data Prep Time (sec),Mean ICL Sampling (sec),Throughput (Tokens/Sec),Throughput (Samples/Minute),Output Token (Avg),Total Token,Total Latency (sec) - Experiment,Total Cost ($) - Experiment,Total Input Token - Experiment,Total Output Token - Experiment
CES,GPT-5,Compass,ZeroShot,cot,0.6633,0.4836,0.4953,0.4971,0.6433,0.4991,0.5335,0.5184,,,,,40.72±8.90,0.0254±0.0030,2002.89,1.5536,0.0,105.3368,1.4736,2286.03,1286676.0,12214.878,7.6092,600867.0,685809.0
CES,CLAUDE-4,Compass,ZeroShot,direct,0.5872,0.5593,0.5767,0.5967,0.5805,0.5353,0.5353,0.5375,,,,,16.50±2.70,0.0147±0.0015,1980.7133,1.5475,0.0,155.5754,3.6366,586.14,770056.0,4949.7286,4.4203,594214.0,175842.0
CES,GEMINI-2,Compass,ZeroShot,direct,0.4633,0.4602,0.5374,0.543,0.4967,0.4817,0.499,0.4989,,,,,31.58±5.09,0.0306±0.0043,2043.71,1.5475,0.0,153.6413,1.9,2808.0733,1455535.0,9473.591,9.1906,613113.0,842422.0
CES,GPT-5,Compass,ZeroShot,direct,0.6667,0.5034,0.5165,0.5111,0.6367,0.5044,0.5308,0.5189,,,,,30.81±12.20,0.0182±0.0036,1860.89,1.5475,0.0,111.833,1.9473,1584.9133,1033741.0,9243.6113,5.4526,558267.0,475474.0
GLOBEM,CLAUDE-4,Compass,Crossrandom,cot,0.5485,0.466,0.5211,0.5422,0.6359,0.5014,0.5159,0.5257,,,,,26.37±2.94,0.0353±0.0018,7024.686,19.4012,0.0625,302.2192,2.2751,945.6425,3299716.0,10918.2886,14.5971,2908220.0,391496.0
GLOBEM,GEMINI-2,Compass,Crossrandom,cot,0.4065,0.3816,0.5232,0.5433,0.5421,0.4799,0.5358,0.5654,,,,,31.82±4.05,0.0393±0.0028,7494.8523,19.4012,0.0625,329.6417,1.8854,2995.5496,4332536.0,13143.1684,16.2408,3095374.0,1237162.0
GLOBEM,GPT-5,Compass,Crossrandom,cot,0.715,0.4809,0.4838,0.4804,0.7609,0.5073,0.5097,0.5078,,,,,38.67±7.68,0.0271±0.0030,6709.0048,19.4012,0.0625,221.7689,1.5515,1867.3768,3550622.0,16010.4602,11.2029,2777528.0,773094.0
GLOBEM,CLAUDE-4,Compass,Crossretrieval,cot,0.3937,0.3657,0.4963,0.4932,0.6039,0.4953,0.5212,0.5372,,,,,26.81±3.17,0.0349±0.0024,6747.2609,20.2909,0.9594,288.2507,2.2384,979.3213,3198805.0,11097.3005,14.4617,2793366.0,405439.0
GLOBEM,GEMINI-2,Compass,Crossretrieval,cot,0.2951,0.2933,0.5143,0.5181,0.5683,0.5066,0.5584,0.608,,,,,41.86±10.65,0.0435±0.0062,7188.3213,20.2909,0.9594,254.0777,1.4333,3447.756,4403336.0,17330.6674,17.9937,2975965.0,1427371.0
GLOBEM,GPT-5,Compass,Crossretrieval,cot,0.6755,0.4855,0.4947,0.492,0.7893,0.5845,0.5905,0.5802,,,,,39.38±9.48,0.0277±0.0029,6436.7802,20.2909,0.9594,213.2948,1.5236,1962.7947,3477424.0,16303.3714,11.457,2664827.0,812597.0
GLOBEM,CLAUDE-4,Compass,Hybridblend,cot,0.678,0.5138,0.5218,0.5349,0.7094,0.5304,0.5301,0.5388,,,,,27.89±3.41,0.0366±0.0018,7121.1208,19.4568,0.0632,291.807,2.1515,1016.6498,3369037.0,11545.4284,15.1578,2948144.0,420893.0
GLOBEM,GEMINI-2,Compass,Hybridblend,cot,0.6039,0.4953,0.528,0.5538,0.7005,0.545,0.545,0.564,,,,,38.48±7.86,0.0420±0.0051,7617.5676,19.4568,0.0632,282.3685,1.5593,3247.7826,4498255.0,15930.4412,17.3879,3153673.0,1344582.0
GLOBEM,GPT-5,Compass,Hybridblend,cot,0.8019,0.508,0.5172,0.5105,0.7971,0.5139,0.5321,0.5171,,,,,33.33±7.95,0.0244±0.0031,6803.413,19.4568,0.0632,251.8961,1.8003,1591.7029,3475578.0,13797.6624,10.1104,2816613.0,658965.0
GLOBEM,CLAUDE-4,Compass,Personalrecent,cot,0.6949,0.5207,0.525,0.5379,0.7264,0.5468,0.5444,0.555,,,,,28.02±3.10,0.0369±0.0017,7223.4372,19.6415,0.055,293.9703,2.1416,1012.6425,3409737.0,11598.9174,15.26,2990503.0,419234.0
GLOBEM,GEMINI-2,Compass,Personalrecent,cot,0.5858,0.4843,0.5238,0.5466,0.6912,0.5436,0.5453,0.5669,,,,,38.60±8.39,0.0419±0.0064,7689.8447,19.6415,0.055,282.9695,1.5545,3231.966,4499786.0,15902.0156,17.276,3168216.0,1331570.0
GLOBEM,GPT-5,Compass,Personalrecent,cot,0.8019,0.508,0.5172,0.5105,0.7971,0.5051,0.5219,0.511,,,,,33.97±8.74,0.0248±0.0033,6901.6884,19.6415,0.055,250.6101,1.7661,1612.2947,3524789.0,14064.8317,10.2465,2857299.0,667490.0
GLOBEM,CLAUDE-4,Compass,ZeroShot,cot,0.5121,0.4289,0.4932,0.4863,0.6232,0.4591,0.4758,0.4628,,,,,28.29±3.56,0.0218±0.0018,2040.1256,19.0654,0.0,109.1322,2.1207,1047.5145,1278283.0,11713.1577,9.0389,844612.0,433671.0
GLOBEM,GEMINI-2,Compass,ZeroShot,cot,0.3808,0.3579,0.4956,0.4921,0.4963,0.4518,0.5324,0.5589,,,,,40.46±8.80,0.0363±0.0052,2060.3358,19.0654,0.0,134.2145,1.4829,3370.0146,2231874.0,16629.1574,14.9093,846798.0,1385076.0
GLOBEM,GPT-5,Compass,ZeroShot,cot,0.7421,0.4756,0.4752,0.4759,0.7713,0.5067,0.5119,0.5084,,,,,34.78±7.88,0.0253±0.0031,1906.599,19.0654,0.0,120.6913,1.7253,2290.6473,1737660.0,14397.5599,10.4699,789332.0,948328.0
GLOBEM,CLAUDE-4,Compass,ZeroShot,direct,0.5507,0.4543,0.5045,0.5089,0.587,0.4596,0.4872,0.4781,,,,,14.67±2.17,0.0133±0.0013,1871.1256,20.7717,0.0,162.4098,4.0908,510.9203,986167.0,6072.0898,5.4968,774646.0,211521.0
GLOBEM,GEMINI-2,Compass,ZeroShot,direct,0.4442,0.3917,0.489,0.478,0.4806,0.4375,0.5259,0.5479,,,,,33.39±7.04,0.0293±0.0041,1920.0193,20.7717,0.0,138.1575,1.7968,2693.5435,1910015.0,13824.9085,12.1449,794888.0,1115127.0
GLOBEM,GPT-5,Compass,ZeroShot,direct,0.715,0.4809,0.4838,0.4804,0.7923,0.5421,0.557,0.5388,,,,,23.35±7.10,0.0176±0.0034,1764.599,20.7717,0.0,141.3878,2.57,1536.2923,1366569.0,9665.3971,7.2734,730544.0,636025.0
MENTALIOT,GEMINI-2,Compass,Crossrandom,cot,0.2538,0.2489,0.4806,0.4877,0.3706,0.3678,0.5574,0.5731,0.5279,0.3455,0.264,0.5,39.95±6.00,0.0358±0.0049,2380.26,0.0191,0.0206,141.6929,1.502,3279.74,1132000.0,7989.109,7.1545,476052.0,655948.0
MENTALIOT,GEMINI-2,Compass,Crossretrieval,cot,0.3553,0.3529,0.5086,0.5105,0.3756,0.3733,0.5608,0.5756,0.5279,0.3455,0.264,0.5,43.62±6.05,0.0414±0.0069,4357.88,0.0193,0.0029,182.2547,1.3757,3591.285,1589833.0,8723.1379,8.272,871576.0,718257.0
MENTALIOT,GEMINI-2,Compass,Hybridblend,cot,0.2915,0.2897,0.528,0.5219,0.3518,0.3494,0.5316,0.5393,0.5226,0.3432,0.2613,0.5,44.04±5.35,0.0393±0.0046,2347.74,0.0171,0.0213,135.97,1.3624,3640.565,1197661.0,8808.276,7.8681,469548.0,728113.0
MENTALIOT,GEMINI-2,Compass,Personalrecent,cot,0.2386,0.2298,0.4768,0.4882,0.3553,0.3551,0.5788,0.5856,0.5279,0.3455,0.264,0.5,42.13±6.86,0.0381±0.0057,2321.595,0.0161,0.0188,138.5813,1.4242,3516.505,1167620.0,8425.5219,7.6134,464319.0,703301.0
MENTALIOT,GEMINI-2,Compass,ZeroShot,cot,0.2323,0.2227,0.4684,0.4849,0.303,0.3024,0.5632,0.5543,0.5253,0.3444,0.2626,0.5,43.36±6.64,0.0378±0.0046,1666.37,0.0201,0.0,120.8002,1.3838,3571.46,1047566.0,8671.8919,7.5595,333274.0,714292.0
MENTALIOT,CLAUDE-4,Compass,ZeroShot,direct,0.31,0.3094,0.5387,0.5338,0.38,0.3749,0.542,0.5567,0.495,0.4504,0.5171,0.5105,13.91±1.52,0.0126±0.0007,1573.645,0.0171,0.0,151.0194,4.3149,526.31,419991.0,2781.0404,2.5231,314729.0,105262.0
MENTALIOT,GEMINI-2,Compass,ZeroShot,direct,0.2764,0.2742,0.5033,0.5025,0.3216,0.3216,0.5547,0.5547,0.5226,0.3432,0.2613,0.5,34.34±5.07,0.0296±0.0034,1528.36,0.0171,0.0,125.1214,1.7474,2767.955,859263.0,6867.4324,5.918,305672.0,553591.0
